fever,cough,headache,fatigue,sore_throat,body_pain,shortness_of_breath,nausea,disease,solution
1,1,1,1,1,1,0,0,Flu,"Rest, drink fluids, take paracetamol, consult doctor if fever persists"
1,1,0,1,0,0,0,0,Common Cold,"Rest, warm fluids, vitamin C, avoid cold exposure"
1,0,1,0,0,1,0,0,Typhoid,"Consult doctor for antibiotics, maintain hydration, rest"
0,0,1,1,0,0,0,0,Migraine,"Rest in a dark room, avoid bright lights, take prescribed pain relief"
0,1,0,1,1,0,0,0,Allergy,"Use antihistamines, avoid allergens, stay hydrated"
1,1,1,1,0,1,1,0,Pneumonia,"Immediate doctor visit, antibiotics, rest, drink fluids"
1,1,0,0,0,0,0,1,COVID-19,"Quarantine, rest, drink fluids, monitor oxygen, seek medical help if shortness of breath"
1,1,1,1,1,0,1,1,Severe Flu,"Immediate medical attention, antiviral medication, rest, hospitalize if needed"
0,0,0,1,1,0,0,0,Throat Infection,"Gargle warm salt water, take antibiotics if prescribed, rest"
1,0,0,0,0,1,0,1,Malaria,"Take antimalarial medication, maintain hydration, rest, follow doctor instructions"
1,0,1,1,0,1,0,0,Dengue,"Monitor platelet count, hydration, rest, hospitalize if severe"
0,0,1,1,0,0,1,0,Tension Headache,"Rest, massage, use pain relievers if needed"
1,1,0,1,0,1,0,0,Bronchitis,"Antibiotics if bacterial, rest, drink fluids, avoid smoke"
0,1,1,0,0,0,0,0,Sinusitis,"Decongestants, steam inhalation, pain reliever, stay hydrated"
0,0,0,0,1,0,0,0,Laryngitis,"Rest voice, warm fluids, avoid irritants"
1,1,1,0,1,1,1,0,Sepsis,"Emergency care, IV antibiotics, hospital admission immediately"
1,1,1,1,1,1,1,1,Severe Infection,"Immediate hospitalization, IV therapy, specialist care"
0,0,0,1,0,0,0,1,Food Poisoning,"Hydration, electrolytes, rest, visit doctor if symptoms worsen"
1,1,0,0,1,0,1,0,Bronchial Asthma,"Use inhalers, bronchodilators, avoid triggers, consult doctor"
0,0,0,0,0,1,0,0,Muscle Strain,"Rest, ice, compression, elevation"
1,1,1,0,0,1,1,0,Lung Infection,"Immediate medical attention, antibiotics, rest, drink fluids"
0,1,0,1,1,0,1,0,Allergic Rhinitis,"Antihistamines, avoid allergens, stay hydrated"
1,0,1,1,1,0,0,1,Hepatitis A,"Consult doctor, rest, maintain hydration, avoid contaminated food"
1,1,1,1,0,1,1,1,Typhoid Severe,"Immediate doctor visit, IV antibiotics, hydration, hospitalize if required"
